Port Sets,count
17128-17140-17132,125282
17128-17140-17138,124799
17128-17140-17130,125015
17128-17140-17136,125168
17128-17140-17142,104189
17128-17140-17134,104167
17128-17140-34218,24179
17128-17140-34226,23979
17128-17140-34224,23974
17128-17140-34216,23990
17128-17140-34228,24059
17128-17140-33964,23768
17128-17140-34220,23998
17128-17140-33960,23932
17128-17140-33970,23827
17128-17140-33962,23875
17128-17140-33968,23645
17128-17140-33972,23787
17128-17132-17138,124961
17128-17132-17130,125255
17128-17132-17136,125204
17128-17132-17142,104171
17128-17132-17134,104444
17128-17132-34218,24144
17128-17132-34226,24084
17128-17132-34224,24084
17128-17132-34216,24051
17128-17132-34228,24055
17128-17132-33964,23876
17128-17132-34220,24021
17128-17132-33960,23923
17128-17132-33970,23889
17128-17132-33962,23786
17128-17132-33968,23731
17128-17132-33972,23714
17128-17138-17130,124692
17128-17138-17136,124801
17128-17138-17142,103915
17128-17138-17134,104207
17128-17138-34218,24153
17128-17138-34226,24126
17128-17138-34224,23978
17128-17138-34216,23992
17128-17138-34228,23905
17128-17138-33964,23748
17128-17138-34220,23909
17128-17138-33960,23866
17128-17138-33970,23872
17128-17138-33962,23812
17128-17138-33968,23545
17128-17138-33972,23641
17128-17130-17136,124938
17128-17130-17142,104077
17128-17130-17134,104376
17128-17130-34218,24256
17128-17130-34226,24025
17128-17130-34224,24035
17128-17130-34216,23984
17128-17130-34228,23947
17128-17130-33964,23737
17128-17130-34220,23994
17128-17130-33960,23868
17128-17130-33970,23836
17128-17130-33962,23855
17128-17130-33968,23665
17128-17130-33972,23669
17128-17136-17142,103957
17128-17136-17134,104367
17128-17136-34218,24193
17128-17136-34226,24009
17128-17136-34224,24077
17128-17136-34216,24074
17128-17136-34228,24008
17128-17136-33964,23774
17128-17136-34220,23978
17128-17136-33960,23938
17128-17136-33970,23825
17128-17136-33962,23813
17128-17136-33968,23774
17128-17136-33972,23691
17128-17142-17134,89182
17128-17142-34218,22500
17128-17142-34226,22444
17128-17142-34224,22392
17128-17142-34216,22312
17128-17142-34228,22408
17128-17142-33964,22112
17128-17142-34220,22406
17128-17142-33960,22246
17128-17142-33970,22234
17128-17142-33962,22196
17128-17142-33968,21969
17128-17142-33972,22068
17128-17134-34218,22581
17128-17134-34226,22453
17128-17134-34224,22422
17128-17134-34216,22378
17128-17134-34228,22436
17128-17134-33964,22187
17128-17134-34220,22435
17128-17134-33960,22286
17128-17134-33970,22293
17128-17134-33962,22198
17128-17134-33968,22099
17128-17134-33972,22151
17128-34218-34226,10023
17128-34218-34224,10037
17128-34218-34216,10005
17128-34218-34220,10016
17128-34218-33960,10003
17128-34226-34224,10002
17128-34226-34216,10038
17128-34226-34220,10092
17128-34226-33960,10064
17128-34226-33970,10078
17128-34226-33962,10024
17128-34224-34216,10097
17128-34224-34220,10122
17140-17132-17138,124963
17140-17132-17130,125265
17140-17132-17136,124992
17140-17132-17142,104101
17140-17132-17134,104136
17140-17132-34218,24120
17140-17132-34226,24046
17140-17132-34224,24050
17140-17132-34216,23957
17140-17132-34228,24107
17140-17132-33964,23805
17140-17132-34220,24071
17140-17132-33960,23806
17140-17132-33970,23888
17140-17132-33962,23843
17140-17132-33968,23629
17140-17132-33972,23750
17140-17138-17130,124932
17140-17138-17136,124584
17140-17138-17142,103967
17140-17138-17134,103915
17140-17138-34218,24108
17140-17138-34226,24127
17140-17138-34224,23929
17140-17138-34216,23978
17140-17138-34228,24025
17140-17138-33964,23672
17140-17138-34220,23910
17140-17138-33960,23777
17140-17138-33970,23856
17140-17138-33962,23853
17140-17138-33968,23508
17140-17138-33972,23698
17140-17130-17136,124965
17140-17130-17142,104107
17140-17130-17134,104150
17140-17130-34218,24194
17140-17130-34226,24007
17140-17130-34224,24034
17140-17130-34216,23880
17140-17130-34228,23979
17140-17130-33964,23726
17140-17130-34220,23936
17140-17130-33960,23769
17140-17130-33970,23847
17140-17130-33962,23916
17140-17130-33968,23591
17140-17130-33972,23698
17140-17136-17142,103750
17140-17136-17134,103976
17140-17136-34218,24101
17140-17136-34226,23986
17140-17136-34224,24056
17140-17136-34216,23961
